Date,Name,Address,City,State,Zip,AOR,Type Detailed,Male/Female,FY25 ALOS,Level A,Level B,Level C,Level D,Male Crim,Male Non-Crim,Female Crim,Female Non-Crim,ICE Threat Level 1,ICE Threat Level 2,ICE Threat Level 3,No ICE Threat Level,Mandatory,Guaranteed Minimum,Last Inspection Type,Last Inspection End Date,Pending FY25 Inspection,Last Inspection Standard,Last Final Rating
2025-07-07,BROOME COUNTY JAIL,897 FRONT STREET,BINGHAMPTON,NY,13905,BUF,IGSA,Female/Male,4.886364,2.422939,0.121864,0.071685,0.021505,0.279570,2.308244,0.000000,0.050179,0.000000,0.121864,0.000000,2.516129,2.017921,,,,,,
2025-07-07,BUFFALO SERVICE PROCESSING CENTER,4250 FEDERAL DRIVE,BATAVIA,NY,14020,BUF,SPC,Male,49.193012,242.401434,50.802867,127.752688,137.544803,249.150538,309.304659,0.000000,0.046595,89.777778,17.050179,15.749104,435.924731,433.985663,400,ODO,10/31/2024,,PBNDS 2011 - 2016 Revised,Pass
2025-07-07,BURLEIGH COUNTY,P.O. BOX 1416,BISMARCK,ND,58502,SPM,USMS IGA,Female/Male,11.157895,0.555556,1.258065,0.154122,0.000000,0.659498,0.985663,0.000000,0.322581,0.000000,0.172043,0.336918,1.458781,1.695341,,,,,,
2025-07-07,BUTLER COUNTY JAIL,705 HANOVER STREET,HAMILTON,OH,45011,DET,USMS IGA,Female/Male,25.058915,49.261649,13.967742,17.265233,5.483871,23.465950,53.863799,1.487455,7.161290,5.154122,3.566308,6.584229,70.673835,63.727599,,ODO,,,NDS 2019,Pass
2025-07-07,MESA VERDE ICE PROCESSING CENTER,425 GOLDEN STATE AVE,BAKERSFIELD,CA,93301,SFR,CDF,Female/Male,94.573171,13.491039,4.967742,15.827957,36.501792,55.627240,9.774194,0.767025,4.620072,32.068100,2.996416,1.096774,34.627240,54.939068,320,ODO,4/17/2025,,PBNDS 2011 - 2016 Revised,Pass
2025-07-07,DESERT VIEW ANNEX,10450 RANCHO ROAD,ADELANTO,CA,92301,LOS,CDF,Male,41.715211,219.645161,41.150538,62.050179,76.293907,136.189964,262.781362,0.093190,0.075269,13.684588,6.598566,8.161290,370.695341,246.648746,480,ODO,2/27/2025,,PBNDS 2011 - 2016 Revised,Pass
2025-07-07,CALHOUN COUNTY CORRECTIONAL CENTER,185 EAST MICHIGAN AVENUE,BATTLE CREEK,MI,49014,DET,IGSA,Female/Male,38.960259,63.939068,31.318996,30.286738,13.982079,46.121864,78.444444,3.448029,11.512545,10.232975,5.663082,10.964158,112.666667,118.354839,75,ODO,8/22/2024,,NDS 2019,Pass
2025-07-07,CAROLINE DETENTION FACILITY,11093 S.W. LEWIS MEMORIAL DRIVE,BOWLING GREEN,VA,22427,WAS,DIGSA,Female/Male,50.132682,105.150538,41.365591,67.261649,72.376344,127.344086,145.064516,7.874552,5.870968,34.584229,12.451613,14.329749,224.788530,186.566308,224,ODO,4/17/2025,,PBNDS 2011 - 2016 Revised,Pass
2025-07-07,CASS COUNTY JAIL,336 MAIN STREET,PLATTSMOUTH,NE,68048,SPM,USMS IGA,Female/Male,9.440678,0.982079,0.942652,1.193548,0.641577,2.684588,0.777778,0.014337,0.283154,0.405018,0.874552,0.369176,2.111111,3.261649,,,,,,
2025-07-07,COASTAL BEND DETENTION FACILITY,4909 FM 2826,ROBSTOWN,TX,78380,HLG,USMS IGA,Male,3.087137,8.853047,4.634409,3.419355,1.329749,5.111111,11.197133,0.229391,1.698925,1.132616,0.716846,1.164875,15.222222,16.853047,,ODO,2/6/2025,,NDS 2019,Pass
2025-07-07,"CCA, FLORENCE CORRECTIONAL CENTER",1100 BOWLING ROAD,FLORENCE,AZ,85232,PHO,USMS IGA,Male,59.582816,68.835125,43.093190,153.064516,145.390681,262.211470,148.172043,0.000000,0.000000,46.885305,19.476703,25.290323,318.731183,282.480287,,ODO,12/12/2024,,NDS 2019,Pass
