facility_name,measured_on,level_a,level_b,level_c,level_d,male_crim,male_non_crim,female_crim,female_non_crim,ice_threat_level_1,ice_threat_level_2,ice_threat_level_3,no_ice_threat_level
ADAMS COUNTY DET CENTER,2025-01-06,1846.278351,282.783505,3.659794,2.298969,8.268041,2126.556701,0,0.195876,0.824742,0.350515,2.979381,2130.865979
ADAMS COUNTY DET CENTER,2025-01-21,1992.1963734666663,280.9189673333334,4.896812533333328,0.10700253333333194,2.0301321333333364,2277.368753466666,0,-1.2797231999999998,-5.3883144,0.3014353333333332,-1.3852891999999997,2284.5913372
ADAMS COUNTY DET CENTER,2025-02-18,1870.0463388928579,240.91798175,9.026612964285716,5.420774071428572,13.749029892857143,2111.6626727499993,0,0,2.517857142857143,2.2805896785714284,4.989797357142858,2115.6234584642857
ADAMS COUNTY DET CENTER,2025-03-03,1948.532529769228,228.3944025384615,13.672624230769237,12.602863846153848,36.56561315384616,2166.6368299230817,0,0,3.8680273846153836,-0.6241649999999995,-13.568570923076926,2213.5271516153857
ADAMS COUNTY DET CENTER,2025-03-17,1909.6440520000012,222.78803299999967,19.080235,12.338183999999996,31.047627999999982,2132.802864999997,0,0,10.198889999999997,3.876566999999999,4.302256,2145.4727799999987
ADAMS COUNTY DET CENTER,2025-03-31,1983.947730000002,241.2186130000004,16.76948199999999,10.534483000000007,47.476720000000014,2204.9935750000045,0,0,0.7095620000000012,3.3707880000000006,7.675392999999998,2240.7145520000026
ADAMS COUNTY DET CENTER,2025-04-14,1983.144969999998,246.04875699999997,18.84359399999999,8.016722999999988,48.38264,2207.671430999995,0,0,8.176912,6.097034,14.706611,2227.0734999999945
ADAMS COUNTY DET CENTER,2025-04-28,1933.412639,235.58289399999973,28.38130700000001,5.2154390000000115,62.714145000000016,2139.8781200000044,0,0,1.354167000000002,13.485952000000001,28.119129000000004,2159.6330310000008
ADAMS COUNTY DET CENTER,2025-05-12,1905.549165,236.81913600000033,27.436573000000003,4.139055000000001,67.06393099999994,2106.879982000001,0,0,6.592214999999998,22.949601999999995,22.005519,2122.396593
ADAMS COUNTY DET CENTER,2025-05-27,1855.70129486667,239.51511226666625,25.461510399999984,3.1257433999999953,70.19481546666673,2042.897390266663,0,10.711486066666668,8.091194733333335,18.12773680000001,36.05973113333333,2061.525014200003
